ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
02|0037|0011144090670|198642|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198642|N|N|N|Y| |N|N|N|0000099|01
02|0037|0011144090670|198643|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198643|N|N|N|Y| |N|N|N|0000099|01
02|0037|0011144090670|198644|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198644|N|N|N|Y| |N|N|N|0000099|01
02|0037|0011144090670|198645|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198645|N|N|N|Y| |N|N|N|0000099|01
02|0037|0011144090670|198646|Y|N|N|N|M|N|N|Y|0000077|01
02|0038|0011144090670|198646|N|N|N|N|M|N|N|Y|0000077|01
02|0037|0011144090670|198647|Y|N|N|N| |N|N|N|0000099|01
02|0037|0011144090670|198648|Y|N|N|N| |N|N|N|0000099|01
02|0037|0011144090670|198649|Y|N|N|N| |N|N|N|0000099|01
02|0037|0011144090670|198650|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198701|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198702|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198711|N|N|N|Y| |N|N|N|0000099|01
02|0038|0011144090670|198717|Y|N|N|N| |N|N|N|0000099|01
02|0038|0011144090670|198718|Y|N|N|N| |N|N|N|0000099|01
01|0018|0013100440040|198637|N|N|N|Y| |N|N|N|0000079|01
01|0018|0013100440040|198638|N|N|N|Y| |N|N|N|0000079|01
01|0018|0013100440040|198639|N|N|N|Y| |N|N|N|0000079|01
01|0002|0013100611720|198515|Y|N|N|N| |N|N|N|0000169|01
01|0002|0013100611720|198516|Y|N|N|N|L|N|N|Y|0000129|01
01|0002|0013100611720|198517|Y|N|N|N| |N|N|N|0000169|01
01|0002|0013100611720|198518|Y|N|N|N| |N|N|N|0000169|01
01|0002|0013100611720|198519|Y|N|N|N| |N|N|N|0000169|01
01|0002|0013100611720|198520|Y|N|N|N| |N|N|N|0000169|01
01|0002|0013100611720|198527|Y|N|N|N| |N|N|N|0000159|01
01|0039|0022222027560|198540|N|N|N|Y| |N|N|Y|0000069|01
01|0039|0022222027560|198541|N|N|N|Y| |N|N|Y|0000069|01
01|0039|0022222027560|198542|N|Y|N|N| |N|N|Y|0000069|01
01|0039|0022222027560|198543|N|Y|N|N|M|N|N|Y|0000069|01
01|0039|0022222027560|198603|N|N|N|Y| |N|N|N|0000079|01
01|0039|0022222027560|198604|N|N|N|Y| |N|N|N|0000079|01
01|0039|0022222027560|198605|N|N|N|Y|M|N|N|Y|0000059|01
01|0039|0022222027560|198606|N|N|N|Y| |N|N|N|0000079|01
01|0039|0022222027560|198610|N|N|N|Y| |N|N|N|0000079|01
01|0039|0022222027560|198612|Y|N|N|N| |N|N|N|0000079|01
01|0039|0022222027560|198613|N|N|N|Y| |N|N|N|0000079|01
01|0039|0022222027560|198625|N|N|N|N|M|N|N|Y|0000059|01
01|0045|0022222027560|198643|N|Y|N|N| |N|N|Y|0000073|01
01|0045|0022222027560|198644|N|Y|N|N| |N|N|Y|0000073|01
01|0039|0022222030160|198531|N|N|N|Y| |N|N|Y|0000089|01
01|0039|0022222030160|198532|N|N|N|Y| |N|N|Y|0000089|01
01|0039|0022222030160|198533|N|N|N|Y|M|N|N|Y|0000089|01
01|0039|0022222030160|198534|N|N|N|Y| |N|N|Y|0000089|01
01|0039|0022222030160|198624|N|N|N|N|M|N|N|Y|0000088|01
01|0039|0022222030160|198629|N|N|N|N|M|N|N|Y|0000083|01
01|0039|0022222030160|198631|N|N|N|N|M|N|N|Y|0000079|01
